3132,3475,94,188,3575,507,775,1672,2226,3580,2757,1644,78,1391,629,427,735,3534,1999,668,2937,2244,810,3098,347,3588,2492,1440,3478,810,1398,1650,1648,1503,133,1644,3066,1391,1872,427,142,1223,94,1760,2752,2454,735,3177,775,1672,2226,3580,1033,562,3444,1097,2081,555,2800,1606,375,2134,1845,877,1559,2800,1606,3123,70,2947,1559,462,150,1644,3066,1391,1872,427,2800,1606,375,630,1391,903,1212,2466,3314,770,5,1644,78,1391,629,427,1956,553,1146,1946,135,1644,3066,1391,251,2752,396,338,2454,1928,74,2556,2317,3132,3475,94,188,2982,2118,1644,78,1391,629,427,1942,2067,2517,100,1928,74,2556,2317,15,3607,2982,1218,2270,1325,3073,2511,3168,1936,671,2165,1325,1644,78,1391,629,427,1760,775,3029,1442,3012,1388,2454,1325,3073,2297	2
3036,2734,1999,1969,1009,1128,1391,903,808,552,1669,3575,507,775,1672,2226,179,508,3580,2757,1644,78,1391,3366,735,3036,2734,1999,1969,1009,1128,3485,3533,1512,1894,1841,1003,1619,1143,2080,1934,146,2297,427,269,1310,26,1592,1812,269,1310,26,715,630,1728,1391,1709,1564,462,3134,3366,427,474,322,630,1391,903,1212,2466,3366,427,969,3412,5,3132,1417,903,3412,735,1812,269,1310,26,630,827,1644,78,1391,3366,3238,3480,735,2674,1582,3039,271,1442,3132,3475,1391,2579,1582,1081,2160,261,1644,78,1391,3342,2924,261,1644,3066,1391,2684,673,761,1391,761,862,678,61,261,1346,3478,1708,1598,438,684,2270,761,766,3029,761,321,3575,507,1644,78,1391,2929,1218,142,2921,321,3132,3475,94,188,2982,2118,1644,78,1391,3366,142,2680,2118,1146,3300,2929,1636,2528,1391,903,12,985,2884,1187,2674,1709,824,2482,1866,2579,3029,1630,2913,569,1187,2921,2715,1326,2454,459,678,2831,1187,1936,671,459,1243,3534,1669,2967,2674,2165,1325	2
1474,1479,1128,1391,903,808,552,1669,3575,507,775,1672,2226,1644,78,1391,3366,427,427,2789,1954,427,427,1476,3314,1325,665,735,1474,1479,1128,1515,1135,1894,347,3321,1143,2080,1760,1934,146,630,925,5,2132,2680,2789,1644,3066,1391,2832,427,427,770,469,3062,188,406,2092,3572,3132,3475,94,188,16,678,261,2122,1442,761,766,3238,3480,3491,555,113,1994,761,609,2081,585,2552,1671,2511,567,3171,609,1996,2982,438,684,1346,3478,1708,2235,438,684,2045,1346,3478,3339,3489,1462,761,808,2235,969,78,2045,1462,761,1799,2482,4,761,1391,638,427,3096,638,427,434,638,427,2811,2832,427,427,2185,427,427,142,761,862,1644,78,1391,3366,427,427,142,1434,673,985,1214,2317,2936,45,1279,2352,1812,1669,2982,2118,1644,78,1391,3366,427,427,2102,3177,3162,1391,3187,763,3519,364,985,3391,862,1477,2514,142,1223,2109,735,1474,1479,1128,1515,1135,1894,347,3321,1143,2080,1934,146,630,562,938,2132,2680,2789,1644,3066,1391,2832,427,427,770,469,3062,188,406,569,2680,2118,1146,3300,2929,261,1636,2528,1391,903,12,985,2884,1187,2674,3133,2312,3479,1709,824,2482,2929,1218,2921,321,2552,757,761,766,2616,321,3164,562,1866,2579,3029,1630,2913,569,1187,2921,2715,1326,735,12,3177,2929,1218,1636,1644,78,1391,3366,427,427,1033,3039,2429,398,763,406,3039,2929,2467,569,1866,663,3258,1636,2528,1391,903,12,985,2884,1187,2674,1709,824,2482,3053,3029,1325,3073	20
3132,3475,94,188,1033,3475,4,3575,507,775,1672,2226,2951,2907,3580,2757,1644,78,1391,3022,427,735,3534,1128,156,2414,1507,876,1087,2348,2134,2244,3128,1925,776,555,876,1325,3172,763,2388,2542,428,142,2993,191,735,1644,3066,1391,2532,427,3315,142,1427,2202,64,1878,2542,630,3134,74,2308,2202,3344,3418,1223,94,1760,2752,1427,2202,3344,3418,1223,94,2752,2297,2202,3344,3418,1223,94,1760,2752,2297,2202,3344,3418,1223,94,2752,232,1212,807,2618,2226,2466,3104,1212,807,3487,2466,3104,1212,807,278,2466,3104,1212,807,278,2466,3104,1212,807,278,2466,3104,1212,807,79,3068,3485,2466,3104,1212,807,3029,2045,1391,903,1212,2466,3491,1799,2482,3040,3314,329,1462,12,1443,907,3352,1391,903,1212,2466,3314,770,5,2752,562,100,1462,1146,1644,3132,1417,94,188,1630,771,2454,770,3195,1644,3066,1391,2532,427	2
3485,1375,1128,1391,903,808,552,1669,1033,3475,4,3575,507,775,1672,2226,3580,2757,1644,78,1391,807,427,735,15,1956,1512,427,1325,1061,635,2789,3534,3588,789,427,3096,770,469,393,2607,2454,2462,1033,3166,1583,735,3166,1583,555,3249,1636,1644,78,1391,807,427,763,3013,1775,827,789,427,3096,2045,569,3383,1020,789,427,2811,789,427,2771,3166,2098,3491,3485,1375,1128,3132,1417,1991,1462,761,1799,2482,715,1799,2482,789,427,3096,142,2098,2511,2118,2411,2098,587,2519,789,427,2811,789,427,2771,142,2098,2511,2118,2411,1473,2098,2118,761,321,179,673,3575,507,3132,3475,94,188,2579,1582,3342,2924,985,678,61,142,761,766,2067,1644,3066,1391,2684,673,1644,78,1391,1434,673,761,1391,761,862,2674,846,1771,1391,2012,396,2098,3249,779,1799,2482,4,1346,3478,1708,1598,438,684,2045,3339,3489,2270,3132,3475,94,188,2982,2118,1644,78,1391,807,427,635,2140,2098,3066,3162,1391,1826,2012,2979,1391,2411,2098,569,2680,2118,1146,3300,2929,1636,2528,1391,903,12,985,2884,1187,2674,1709,824,2482,2929,1218,2921,321,2552,757,761,766,2616,321,3164,562,1866,2579,3029,1630,2913,569,1187,2921,2715,1326,3046,2383,903,2921,3475,328,2909,78,1391,2045,569,3475,328,223,665,1391,2467,3534,3314,142,2482,3062,3436,271,860,671,2429,3291,1644,78,1391,1946,135,1061,569,2680,2118,2468,3046,2383,903,2921,3475,328,2909,78,1391,1091,2725,142,2289,3479,3491,3067,396,338,12,1443,2466,459,2700,261,846,3193,2581,1799,2482,2581,1995,766,1744,2257,761,609,4,2221,1669,2516,165,2270,461,188,761,766	1
3491,137,665,1598,609,2909,2165,2982,2482,179,3475,1391,2773,427,2929,985,142,2921,321,2552,757,761,766,2616,321,3164,562,983,3440,761,766,1146,735,1760,137,2473,1582,3580,2579,1582,3342,2924,678,61,2454,2573,761,587,137,3594,146,2773,427,573,459,2700,347,142,761,766,3534,1669,2467,2909,2165,2982,2482,142,2921,321,985,983,3440,761,766,3053,3029,2616,2982	1
3491,137,665,1598,609,2909,2165,2982,2482,179,3475,1391,2773,427,2929,985,142,2921,321,2552,757,761,766,2616,321,3164,562,983,3440,761,766,1146,735,1760,137,2473,1582,3580,2579,1582,3342,2924,678,61,2454,2573,761,587,137,3594,146,2773,427,573,459,2700,347,142,761,766,3534,1669,2467,2909,2165,2982,2482,142,2921,321,985,983,3440,761,766,3053,3029,2616,2982	2
3491,137,665,1598,609,775,1672,2226,3580,2757,1954,427,427,1644,78,1391,1629,427,427,2045,1760,545,1020,847,133,601,873,2244,278,1494,3485,897,145,1934,146,1954,427,427,880,3132,715,1954,427,427,2543,278,1494,3485,897,145,1265,1424,1304,427,427,133,1934,146,1242,2831,278,1494,3485,897,145,2700,2344,1934,1536,2702,2297,1709,2921,278,1494,3485,897,145,1476,1760,1375,1265,1424,1304,427,133,261,1934,146,1629,427,427,223,1954,427,427,3353,1304,427,848,2429,278,1494,3485,897,145,142,1934,2702,1304,427,3029,1934,2702,3406,3147,1146,2695,2674,1669,2336,665,2118,2695,36,3296,2800,1606,2332,2993,770,469,393,2607,1629,427,427,2467,1304,427,2283,2680,717,3166,2979,1304,427,1686,1468,3170,630,776,1869,3443,3257,1686,1468,705,3184,2098,2962,3184,2098,3444,1325,2145,2709,1194,3184,2098,3491,2674,846,1799,2482,1304,427,142,396,2098,3249,779,2118,2411,2098,775,1672,2226,1644,78,1391,1629,427,427,3039,780,3353,1474,3570,1999,3132,1417,1991,601,873,562,1991,2490,3314,1672,2226,1644,78,1391,1629,427,427,2789,1644,3066,1391,1304,427,1439,2725,985,2317,885,671,1946,135,1304,427,3491,3067,396,338,2466,3177,3580,1928,74,261,1644,3066,1391,142,2556,2317,1644,3066,1391,1304,427,1243,3291,2467,1644,78,1391,1629,427,427,2345,2411,1325,3073,179,673,2921,321,1644,78,1391,1629,427,427,735,2473,1582,137,665,555,3249,1636,1665,1728,860,671,3462,2067,1644,3066,1391,1304,427,142,2684,673,761,1391,1304,427,427,1954,427,427,142,761,862,1799,2482,2140,1527,4,1996,2982,438,684,985,2317,885,671,4,2556,2317,4,2829,490,113,1994,761,609,133,3314,3491,555,1187,2921,2165,3445,4,1285,1269,761,609,4,2270,4,761,1644,78,1391,1629,427,427,142,1434,673,985,1214,2317,2270,761,766,761,321,2492,3029,2982,2482	1
1925,1,1999,1121,1925,2244,1391,903,808,552,1669,3575,507,775,1672,2226,3580,2757,1644,78,1391,2525,427,352,133,1925,1,1999,1121,1925,2244,1427,3083,2057,1213,791,1592,1728,1391,1709,94,763,2258,2342,1825,3013,2473,1644,3066,1391,1872,427,427,3278,1269,735,1812,1325,142,1760,3511,3598,288,1032,1311,780,2542,142,1311,428,878,167,5,2525,427,2488,1812,2542,1238,2079,1346,3478,735,2813,2542,2680,2089,1121,1925,2244,1121,1925,3485,876,148,1121,1786,326,3046,463,3580,2525,427,1644,3132,1417,1391,403,3238,3480,1644,462,142,1311,780,2542,1146,1644,3132,1417,94,188,2967,2674,3283,2858,2454,1644,586,3195,2468,1644,3066,1391,3491,1925,1,1999,907,77,2982,761,1636,3021,1799,2482,1644,462,142,1311,780,2542,3314,770,3580,907,3352,2466,1644,78,1391,2525,427,2026,3314,5,2122,321,1434,673,261,179,673,2921,321,1644,78,1391,2525,427,2410,1061,2929,635,2140,2098,3066,1218,1847,775,1672,2226,1644,3534,1669,2165,1325,775,1672,2226,1187,1367,1285,1269	2
3491,137,665,1598,609,775,1672,2226,297,1644,78,1391,817,427,3096,735,2789,817,427,434,2946,427,2270,1391,2743,1837,1678,897,3594,146,261,2317,133,2946,427,2789,3479,427,3096,2067,741,419,1644,78,1391,817,427,3096,1061,2789,3479,427,3096,461,2474,2566,610,3624,3166,1311,585,2468,3479,427,3096,1667,1815,985,2946,427,2789,3479,427,3096,142,188,406,5,2789,3479,427,3096,735,1311,585,1636,770,469,393,2327,2454,1025,2429,352,3479,427,3096,142,2221,1325,60,2921,2511,2579,297,3580,2757,1644,78,1391,817,427,3096,2789,817,427,434,2946,427,2270,1391,2813,2542,847,133,3479,427,3096,142,2221,1325,3046,463,2454,3166,1311,585,2543,3479,427,3096,678,847,3479,427,3096,2789,569,1956,1391,3479,427,434,3479,427,2811,2270,1391,678,847,5,735,1956,428,515,2789,1644,78,1391,817,427,3096,770,469,393,2607,817,427,3096,699,261,3479,427,434,1760,2402,1709,5,2332,2993,770,469,2474,717,569,1636,1644,3066,2993,3479,427,3096,2270,1391,271,2651,1498,717,3166,735,2474,717,555,3249,1636,1644,78,1391,817,427,3096,1247,555,2467,2993,142,2651,1498,827,3479,427,2811,717,3166,2979,2098,3491,2674,846,1799,2482,1644,3066,1391,3479,427,2811,2098,2979,2369,776,572,3443,1636,1442,2109,704,251,3443,3257,569,396,2098,3249,779,2118,2411,2098,3314,770,5,1644,78,1391,817,427,3096,1956,553,1146,2092,3534,3314,903,2921,2752,562,2789,1644,3066,1391,3479,427,2811,1439,2725,885,671,1946,135,3479,427,2811,1391,903,1212,2466,179,673,2921,321,1644,78,1391,817,427,3096,735,2473,1582,137,665,555,3249,1636,1665,1728,860,671,2454,2067,1644,3066,1391,3479,427,2811,142,2684,673,761,1391,3479,427,3096,3479,427,434,1331,427,2946,427,817,427,434,142,761,862,3238,3480,3491,555,1996,2982,438,684,2511,567,3171,609,3005,1243,4,1815,2317,885,671,4,2829,490,2674,846,1771,1391,2012,396,2098,3249,779,1799,2482,4,3029,2045,1644,78,1391,817,427,3096,142,1826,157,761,609,2270,761,766,761,321,2492,3029,2982,2482	1
